Date,Open,High,Low,Close,Adj Close,Volume
2006-09-21,116.089996,116.220001,114.949997,115.370003,77.714195,8600800
2006-09-22,115.260002,115.260002,114.669998,115.010002,77.471657,5824500
2006-09-25,115.190002,116.099998,114.769997,115.599998,77.869049,7954400
2006-09-26,115.669998,116.639999,115.559998,116.589996,78.535934,5624600
2006-09-27,116.540001,117.110001,116.480003,116.980003,78.798637,13105000
2006-09-28,116.980003,117.180000,116.500000,116.900002,78.744781,11939700
2006-09-29,117.070000,117.330002,116.669998,116.739998,78.636948,6476600
2006-10-02,116.750000,117.199997,116.470001,116.620003,78.556168,7034700
2006-10-03,116.510002,117.489998,116.440002,117.139999,78.906448,8935000
2006-10-04,117.040001,118.480003,117.000000,118.389999,79.748428,9500700
2006-10-05,118.360001,118.709999,118.199997,118.620003,79.903374,7159600
2006-10-06,118.430000,118.570000,117.970001,118.519997,79.836029,8877700
2006-10-09,118.320000,118.739998,118.099998,118.620003,79.903374,3432300
2006-10-10,118.669998,118.769997,118.300003,118.559998,79.862976,6717700
2006-10-11,118.209999,118.779999,117.910004,118.580002,79.876442,8384200
2006-10-12,118.879997,119.580002,118.870003,119.459999,80.469200,5467800
2006-10-13,119.370003,119.680000,119.070000,119.639999,80.590446,5290000
2006-10-16,119.570000,119.970001,119.419998,119.769997,80.678001,6899400
2006-10-17,119.599998,119.750000,118.870003,119.570000,80.543266,9414600
2006-10-18,120.169998,120.489998,119.500000,119.900002,80.765579,8739600
2006-10-19,119.820000,120.309998,119.669998,120.150002,80.933968,6592000
2006-10-20,119.750000,120.010002,119.379997,119.930000,80.884720,8226900
2006-10-23,119.720001,121.129997,119.699997,120.870003,81.518738,9888200
2006-10-24,120.860001,121.250000,120.750000,121.209999,81.748055,7025100
2006-10-25,121.050003,121.400002,120.690002,121.389999,81.869431,8617200
2006-10-26,121.449997,121.550003,120.839996,121.430000,81.896378,6657000
2006-10-27,121.250000,121.410004,120.629997,120.860001,81.511963,8672500
2006-10-30,120.599998,121.059998,120.360001,120.769997,81.451302,5699600
2006-10-31,120.849998,121.029999,120.120003,120.730003,81.424301,8360000
2006-11-01,121.059998,121.110001,119.980003,120.260002,81.107315,7596000
2006-11-02,119.879997,120.239998,119.720001,120.000000,80.931938,6938800
2006-11-03,120.459999,120.620003,119.599998,119.779999,80.783546,6840900
2006-11-06,120.059998,121.139999,120.019997,121.010002,81.613190,7444400
2006-11-07,121.120003,121.879997,120.959999,121.550003,81.977325,9506400
2006-11-08,121.190002,121.959999,121.029999,121.830002,82.166161,9262100
2006-11-09,121.779999,121.900002,120.910004,121.160004,81.714310,5962600
2006-11-10,121.120003,121.260002,120.769997,121.110001,81.680603,3718400
2006-11-13,121.120003,121.820000,120.980003,121.349998,81.842445,5695200
2006-11-14,121.669998,122.449997,120.989998,122.320000,82.496628,7650200
2006-11-15,122.339996,123.110001,122.279999,122.690002,82.746170,8817400
2006-11-16,123.050003,123.449997,122.800003,123.360001,83.198036,6310100
2006-11-17,122.809998,123.300003,122.669998,123.260002,83.346138,6493600
2006-11-20,123.099998,123.449997,122.900002,123.129997,83.258255,5772200
2006-11-21,123.160004,123.320000,122.860001,123.150002,83.271820,5692600
2006-11-22,123.230003,123.510002,122.930000,123.250000,83.339447,3947300
2006-11-24,122.669998,123.099998,122.529999,122.680000,82.953926,2480000
2006-11-27,122.699997,122.720001,121.070000,121.110001,81.892334,9329500
2006-11-28,121.000000,121.449997,120.680000,121.260002,81.993767,8415800
2006-11-29,121.589996,122.400002,121.550003,122.330002,82.717270,9318400
2006-11-30,122.330002,122.769997,121.629997,122.279999,82.683479,12809400
2006-12-01,122.370003,122.459999,120.900002,122.050003,82.527977,14513700
2006-12-04,122.040001,123.110001,122.000000,122.800003,83.035118,6279300
2006-12-05,122.980003,123.370003,122.730003,123.360001,83.413757,6599200
2006-12-06,123.309998,123.400002,122.970001,123.150002,83.271820,4234800
2006-12-07,123.339996,123.650002,122.680000,122.760002,83.008087,6432500
2006-12-08,122.680000,123.379997,122.320000,123.000000,83.170372,7319600
2006-12-11,123.110001,123.550003,123.070000,123.339996,83.400246,3908400
2006-12-12,123.269997,123.330002,122.540001,123.190002,83.298828,8976800
2006-12-13,123.650002,123.739998,123.059998,123.349998,83.406998,4444800
2006-12-14,123.209999,124.379997,123.199997,124.230003,84.002045,6851000
2006-12-15,124.190002,124.589996,124.099998,124.150002,84.171562,9366400
2006-12-18,124.309998,124.629997,124.029999,124.220001,84.219002,6767800
2006-12-19,123.900002,124.639999,123.699997,124.379997,84.327507,6186200
2006-12-20,124.419998,124.720001,124.279999,124.419998,84.354591,4705700
2006-12-21,124.449997,124.599998,123.720001,123.989998,84.063049,5991800
2006-12-22,124.010002,124.239998,123.180000,123.180000,83.513893,6811000
2006-12-26,123.169998,124.010002,123.169998,123.970001,84.049500,4076200
2006-12-27,124.360001,124.989998,124.250000,124.930000,84.700371,5714600
2006-12-28,124.900002,125.139999,124.589996,124.800003,84.612213,6691600
2006-12-29,124.800003,125.099998,124.339996,124.410004,84.347786,4935800
2007-01-03,125.160004,125.680000,123.879997,124.470001,84.388451,11525000
2007-01-04,124.480003,124.949997,123.889999,124.680000,84.530869,10318700
2007-01-05,124.470001,124.500000,123.519997,123.739998,83.893517,9389000
2007-01-08,123.870003,124.389999,123.250000,124.139999,84.164772,8092400
2007-01-09,124.339996,124.570000,123.419998,124.070000,84.117340,7438700
2007-01-10,123.739998,124.550003,123.500000,124.430000,84.361382,8961200
2007-01-11,124.510002,125.349998,124.339996,124.989998,84.741043,7467000
2007-01-12,124.940002,125.660004,124.809998,125.660004,85.195313,5995700
2007-01-16,125.540001,125.750000,125.290001,125.699997,85.222412,7052400
2007-01-17,125.540001,126.099998,125.430000,125.750000,85.256332,8768600
2007-01-18,125.959999,126.080002,125.389999,125.510002,85.093605,10423800
